@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
1,'2021/03/18 14:48:12:972',2,873.5,-1697.5,0.7,0.7
2,'2021/03/18 14:48:13:472',2,1041.5,-1598,0.7,0.7
3,'2021/03/18 14:48:13:971',2,1079,-1568.5,0.7,0.7
4,'2021/03/18 14:48:14:471',2,1021.5,-1592.5,0.7,0.7
5,'2021/03/18 14:48:14:971',2,963.5,-1649.5,0.7,0.7
6,'2021/03/18 14:48:15:471',2,993.5,-1706,0.7,0.7
7,'2021/03/18 14:48:15:970',2,1019.5,-1679.5,0.7,0.7
8,'2021/03/18 14:48:16:471',2,1012,-1671.5,0.7,0.7
9,'2021/03/18 14:48:16:988',2,1010,-1683.5,0.7,0.7
10,'2021/03/18 14:48:17:471',2,994,-1671,0.7,0.7
11,'2021/03/18 14:48:18:031',2,980.5,-1697.5,0.7,0.7
12,'2021/03/18 14:48:18:567',2,988,-1698.5,0.7,0.7
13,'2021/03/18 14:48:19:067',2,948,-1708.5,0.7,0.7
14,'2021/03/18 14:48:19:567',2,963.5,-1605.5,0.7,0.7
15,'2021/03/18 14:48:20:067',2,1019.5,-1600.5,0.7,0.7
16,'2021/03/18 14:48:20:567',2,1039,-1648,0.7,0.7
17,'2021/03/18 14:48:21:067',2,1077.5,-1641,0.7,0.7
18,'2021/03/18 14:48:21:567',2,1158.5,-1586,0.7,0.7
19,'2021/03/18 14:48:22:066',2,1154.5,-1523,0.7,0.7
20,'2021/03/18 14:48:22:567',2,1163,-1545,0.7,0.7
21,'2021/03/18 14:48:39:567',3,1242.5,-1452.5,0.7,0.2
22,'2021/03/18 14:48:40:067',3,1220,-1434.5,0.7,0.2
23,'2021/03/18 14:48:40:567',3,1208.5,-1480.5,0.7,0.2
24,'2021/03/18 14:48:41:110',3,1253.5,-1529,0.7,0.2
25,'2021/03/18 14:48:41:111',3,1234,-1502.5,0.7,0.2
26,'2021/03/18 14:48:41:676',3,1253.5,-1455.5,0.7,0.2
27,'2021/03/18 14:48:42:177',3,1280.5,-1443.5,0.7,0.2
28,'2021/03/18 14:48:42:676',3,1252,-1461.5,0.7,0.2
29,'2021/03/18 14:48:43:177',3,1223,-1489,0.7,0.2
30,'2021/03/18 14:48:43:677',3,1235.5,-1478.5,0.7,0.2
31,'2021/03/18 14:48:44:208',3,1250,-1465.5,0.7,0.2
32,'2021/03/18 14:48:44:712',3,1211.5,-1440,0.7,0.2
33,'2021/03/18 14:48:45:229',3,1237,-1442,0.7,0.2
34,'2021/03/18 14:48:45:745',3,1242,-1454,0.7,0.2
35,'2021/03/18 14:48:46:244',3,1239,-1475.5,0.7,0.2
36,'2021/03/18 14:48:46:745',3,1216,-1470,0.7,0.2
37,'2021/03/18 14:48:47:245',3,1221,-1477.5,0.7,0.2
38,'2021/03/18 14:48:47:813',3,1249,-1494,0.7,0.2
39,'2021/03/18 14:48:48:312',3,1275.5,-1470.5,0.7,0.2
40,'2021/03/18 14:48:48:812',3,1225,-1467.5,0.7,0.2
41,'2021/03/18 14:48:49:312',3,1222.5,-1463,0.7,0.2
42,'2021/03/18 14:48:49:812',3,1240,-1540,0.7,0.2
