@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
33,'2021/01/26 15:36:52:352',6,-2072,937,-1013.5,0,0
34,'2021/01/26 15:36:52:852',6,-1608,1250.5,-1234,0,0
35,'2021/01/26 15:36:53:353',6,-1497.5,1247,-1203,0,0
36,'2021/01/26 15:36:53:852',6,-1479.5,1311,-1188,0,0
37,'2021/01/26 15:36:54:352',6,-1478.5,1279,-1171.5,0,0
38,'2021/01/26 15:36:54:852',6,-1451.5,1246.5,-1113,0,0
39,'2021/01/26 15:36:55:352',6,-1483,1264.5,-1139,0,0
40,'2021/01/26 15:36:55:852',6,-1464,1256,-1150.5,0,0
41,'2021/01/26 15:36:56:352',6,-1479,1244,-1120.5,0,0
42,'2021/01/26 15:36:56:852',6,-1465,1254,-1153.5,0,0
43,'2021/01/26 15:36:57:352',6,-1434,1275,-1137,0,0
44,'2021/01/26 15:36:57:852',6,-1410.5,1302.5,-1085.5,0,0
45,'2021/01/26 15:36:58:353',6,-1451.5,1271.5,-1087.5,0,0
46,'2021/01/26 15:36:58:853',6,-1494,1275,-1114.5,0,0
47,'2021/01/26 15:37:06:352',7,-1139,1713.5,-1044.5,1,1
48,'2021/01/26 15:37:06:853',7,-1154.5,1642,-1083.5,1,1
49,'2021/01/26 15:37:07:353',7,-1165,1540,-1080,1,1
50,'2021/01/26 15:37:07:852',7,-1164,1537.5,-1080,1,1
51,'2021/01/26 15:37:08:352',7,-1183.5,1595,-1059,1,1
52,'2021/01/26 15:37:08:853',7,-1182.5,1680,-1129,1,1
53,'2021/01/26 15:37:09:352',7,-1136.5,1617.5,-1043.5,1,1
54,'2021/01/26 15:37:09:852',7,-1194.5,1629.5,-1029.5,1,1
55,'2021/01/26 15:37:10:352',7,-1143,1641,-1066.5,1,1
56,'2021/01/26 15:37:10:853',7,-1144,1617,-1094.5,1,1
57,'2021/01/26 15:37:11:852',7,-1149,1652.5,-1068.5,1,1
58,'2021/01/26 15:37:12:353',7,-1196,1650,-1062,1,1
59,'2021/01/26 15:37:12:852',7,-1226,1661,-1091,1,1
